officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Badampalli B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Bahadurpalli B.O,500043,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Airforce Academy S.O,Trimulgherry H.O,NA,NA
Balanagar Township S.O,500037,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463302,NA,Trimulgherry H.O,NA,NA
Bandelkacherla B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Bantwaram B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,R,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Barwad B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Basheerabad S.O,501143,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,K.V.Rangareddy,TELANGANA,08416-252098,NA,Vikarabad H.O,NA,NA
Begumpet Policelines S.O,500003,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463722,NA,Secunderabad H.O,NA,NA
Begumpet S.O,500016,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463723,NA,Secunderabad H.O,NA,NA
Bennur B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rr.,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Bhulkapur B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
BITS B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Bogaram B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Bolarum Bazar S.O,500010,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463755,NA,Trimulgherry H.O,NA,NA
Bolarum S.O,500010,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463760,NA,Trimulgherry H.O,NA,NA
Bompalli S.O,501502,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-255691,NA,Vikarabad H.O,NA,NA
Bomraspet B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Bowenpally S.O,500011,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463759,NA,Trimulgherry H.O,NA,NA
Bowrampet B.O,500043,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Airforce Academy S.O,Trimulgherry H.O,NA,NA
Buchampalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
CCI Tandur S.O,501158,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tandur,K.V.Rangareddy,TELANGANA,NA,NA,Vikarabad H.O,NA,NA
Chanchalpet B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Chandanagar S.O,500050,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463761,NA,Trimulgherry H.O,NA,NA
Chandanvelly B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Chengole B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Chengomal B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Chennaram B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Chenvelli B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Cherial B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Cherlapalli B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Chevella S.O,501503,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08417-244222,NA,Vikarabad H.O,NA,NA
Chilkur B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Chimaldari B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Chinna Mangalaram B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Chinnagottiga B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Chittigadda B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Chityal B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
CIE Balangar S.O,500037,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463762,NA,Trimulgherry H.O,NA,NA
CMR College (Kandlakoya) B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Medchal,K.V.Rangareddy,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
CRPF B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Dabirpur B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Damarched B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Damargidda B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Devarampalli B.O,501111,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Nawabpet S.O (K.V.Rangareddy),Vikarabad H.O,NA,NA
Devaryamjal B.O,500078,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Shamirpet,K.V.Rangareddy,TELANGANA,NA,Nisa Hakimpet S.O,Trimulgherry H.O,NA,NA
Devnoor B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Devuniyerravalli B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Dhannaram B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Dharur S.O,501121,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-236222,NA,Vikarabad H.O,NA,NA
Dhobhipet B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Dindigul B.O,500043,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Airforce Academy S.O,Trimulgherry H.O,NA,NA
Dirsampalli B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Doma B.O,501502,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Bompalli S.O,Vikarabad H.O,NA,NA
Doolapalli B.O,500100,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Komplly S.O,Trimulgherry H.O,NA,NA
Dornal B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Dr As Rao Nagar S.O,500062,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463788,NA,Secunderabad H.O,NA,NA
Ecil S.O,500062,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463725,NA,Secunderabad H.O,NA,NA
Edulabad B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Ghatkesar,K.V.Rangareddy,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Ekmamidi B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
EME Records S.O,500015,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463764,NA,Trimulgherry H.O,NA,NA
Enkatala B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Gagillapur B.O,500043,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Airforce Academy S.O,Trimulgherry H.O,NA,NA
Gajularamaram B.O,500055,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,IDA Jeedimetla S.O,Trimulgherry H.O,NA,NA
Gandhinagar S.O (Hyderabad),500080,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463726,NA,Secunderabad H.O,NA,NA
Gazipur B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Gharsinghapur B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Ghatepalli B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Ghatkesar S.O,501301,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,K.V.Rangareddy,TELANGANA,08415-222222,NA,Secunderabad H.O,NA,NA
Gingurthi B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Girgitpalle B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Vikarabad,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Girmapur B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Godamguda B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Golconda Chowrastha S.O,500020,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,NA,NA,Secunderabad H.O,NA,NA
Gottimukkala B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Gowdavalli B.O,501401,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Medchal S.O,Trimulgherry H.O,NA,NA
Gundal B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Gunj B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tandur,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Haiglines S.O,500010,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463755,NA,Trimulgherry H.O,NA,NA
Hakimpet S.O,500014,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463768,NA,Trimulgherry H.O,NA,NA
Hal S.O (Hyderabad),500042,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463765,NA,Trimulgherry H.O,NA,NA
Hanumanpet B.O,500047,B.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Malkajgiri S.O,Trimulgherry H.O,NA,NA
Haridasapalli B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Himmatnagar S.O,500025,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463728,NA,Secunderabad H.O,NA,NA
HMT Township S.O,500054,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463766,NA,Trimulgherry H.O,NA,NA
IDA Jeedimetla S.O,500055,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463769,NA,Trimulgherry H.O,NA,NA
Ie Moulali S.O,500040,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463731,NA,Secunderabad H.O,NA,NA
IICT S.O,500007,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463732,NA,Secunderabad H.O,NA,NA
Indur B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Jaggamguda B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Jai Jawan Colony S.O,500062,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,NA,NA,Secunderabad H.O,NA,NA
Jaidupalli B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Jama I Osmania S.O,500007,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463733,NA,Secunderabad H.O,NA,NA
Jangaon B.O,501142,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Peddimal S.O,Vikarabad H.O,NA,NA
Jawahar Nagar B.O,500087,B.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,NA,JJ Nagar Colony S.O,Trimulgherry H.O,NA,NA
Jeevangi B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
JJ Nagar Colony S.O,500087,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463771,NA,Trimulgherry H.O,NA,NA
Jntu Kukat Pally S.O,500085,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23428516,NA,Trimulgherry H.O,NA,NA
Juntapalli B.O,501144,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Yalal S.O,Vikarabad H.O,NA,NA
Kadcherla B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Kalkhoda B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Kanakamamidi B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Kandanhalli B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Kandlapalli B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Kandwada B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Kankal B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Kanmeta B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
Karankot B.O,501158,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,CCI Tandur S.O,Vikarabad H.O,NA,NA
Karvelli B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Kasimpur B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Katchavanisingaram B.O,500088,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,NA,Samskruthi S.O,Secunderabad H.O,NA,NA
Keesara B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Keesaragutta B.O,501301,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Ghatkesar S.O,Secunderabad H.O,NA,NA
Kesaram B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Kethireddipalli B.O,501504,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Moinabad S.O,Vikarabad H.O,NA,NA
Kingsway S.O,500003,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463735,NA,Secunderabad H.O,NA,NA
Kistapur B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Kodalkal B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Kokat B.O,501141,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Tandur S.O,Vikarabad H.O,NA,NA
Kolkonda B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Kolthur B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Komplly S.O,500100,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Quthbullapur Mandal,Hyderabad,TELANGANA,NA,NA,Trimulgherry H.O,NA,NA
Korremal B.O,500088,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Samskruthi S.O,Secunderabad H.O,NA,NA
Kothagdi B.O,501102,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Allampalli S.O.,Vikarabad H.O,NA,NA
Kothapalli B.O,501106,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Kotpalli S.O,Vikarabad H.O,NA,NA
Kothapalli B.O,501203,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Shankarpalli S.O,Vikarabad H.O,NA,NA
Kothlapur B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Kotmarpalli B.O,501202,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Mominpet S.O,Vikarabad H.O,NA,NA
Kotpalli S.O,501106,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,08416-255691,NA,Vikarabad H.O,NA,NA
Kowkoor B.O,500010,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Malkagiri Manda,Hyderabad,TELANGANA,NA,Bolarum S.O,Trimulgherry H.O,NA,NA
Kowkunta B.O,501503,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Chevella S.O,Vikarabad H.O,NA,NA
KPHB Colony S.O,500085,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463730,NA,Trimulgherry H.O,NA,NA
Kudmoor B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Kudvandapur B.O,501501,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Purgi S.O,Vikarabad H.O,NA,NA
Kukatpally S.O,500072,S.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Tirumalagiri,Hyderabad,TELANGANA,040-23463772,NA,Trimulgherry H.O,NA,NA
Kukonda B.O,501121,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,NA,K.V.Rangareddy,TELANGANA,NA,Dharur S.O,Vikarabad H.O,NA,NA
Kurviched B.O,501143,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,K.V.Rangareddy,TELANGANA,NA,Basheerabad S.O,Vikarabad H.O,NA,NA
Kushaiguda B.O,500062,B.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,NA,Jai Jawan Colony S.O,Secunderabad H.O,NA,NA
Kutbullapur B.O,500055,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,IDA Jeedimetla S.O,Trimulgherry H.O,NA,NA
Kyasaram B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
Lalgadi Malakpet B.O,500101,B.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,NA,Shamirpet S.O,Trimulgherry H.O,NA,NA
